Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
BO1_30_5_EI,1,"[3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]","[27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606, 27.397260273972606]",493.2,0.71,"[612.0, 618.0, 625.0, 651.0, 645.0, 634.0]",39.33453888888889
BO1_30_5_EI,2,"[2867.554752696839, 660.3652435181898, 2806.88760098197, 2148.6605686073535, 1604.9979102729285, 359.9096969448105, 1653.296011077122, 1201.3510001004788, 514.3205445189869, 2343.198502615871, 203.08168449756099, 2599.1955801605695, 3378.7897524567015, 2.803557027651583, 3571.961613448384, 2222.93343465978, 2201.9513777578118, 25.438698790982667]","[23.1068070322066, 5.32123483898622, 22.61795004820282, 17.31394495251695, 12.933101613802808, 2.9001587183304633, 13.322288566294297, 9.680507655926501, 4.144404065422941, 18.88153507345585, 1.636435813840137, 20.94436406253481, 27.226347723261092, 0.022591112229263362, 28.78293000361309, 17.912437023849957, 17.74336323737157, 0.20498548582580714]",244.4,0.35,"[301.0, 321.0, 182.0, 316.0, 328.0, 339.0]",70.71805617283951
BO1_30_5_EI,3,"[83.02473014909674, 1889.1887769302014, 1439.49949817492, 167.99638756901555, 3505.5198678292536, 837.9768255490955, 326.1831643181549, 2226.1896335991146, 1376.8631685617863, 3539.631188904438, 1680.3464156927282, 3095.7854642507546, 2449.1071389160074, 1621.7973070903552, 47.75386017551951, 3391.926320465471, 2027.8375842439418, 1387.4994091436984]","[0.6690147473738658, 15.223116655360204, 11.599512475220951, 1.3537178692104397, 28.247541239558853, 6.752432115625266, 2.6283897205330775, 17.938675532627837, 11.09478782080408, 28.52241086949588, 13.540261206226658, 24.945894151899715, 19.734948742272422, 13.068471451171275, 0.38480145185753034, 27.33220242115609, 16.34035120261033, 11.180494835968561]",250.4,0.28,"[265.0, 301.0, 236.0, 295.0, 285.0, 425.0]",70.19954691358025
BO1_30_5_EI,4,"[57.478507992771114, 831.2177722397366, 867.6916776936424, 2459.74866777165, 2195.987968017436, 2999.5016822501925, 624.1127526279796, 1407.8181872636671, 656.0499160370244, 2719.3010771435497, 1530.5611481684814, 748.58998632548, 2043.7211801519697, 112.72785284001093, 3032.2251885419955, 1619.1148801311567, 1422.5408496065322, 3335.97191685766]","[0.46316283636398964, 6.697967544236396, 6.991874920980197, 19.820698370440372, 17.695309975966445, 24.170037729655057, 5.029111624721835, 11.344223910263233, 5.286461853642421, 21.912176286410556, 12.333288865177128, 6.032151380543755, 16.468341500015875, 0.9083630365834886, 24.43372432346491, 13.046856407180957, 11.462859384420083, 26.881320844944884]",230.9,0.25,"[198.0, 252.0, 349.0, 236.0, 281.0, 375.0]",69.99220200617283
BO1_30_5_EI,5,"[2618.1791850831155, 1175.5467677010076, 2053.598307859438, 1875.0033360929656, 3460.219287657658, 3040.321855241346, 2690.3523964945716, 1942.8916766006876, 2112.304196389854, 3474.9191061508977, 2185.3232916720654, 993.5970552811564, 1066.5846205346968, 594.960980626809, 56.291064268298165, 1524.245330542931, 1421.5734654320513, 1056.5574289849374]","[21.09733428753518, 9.472576693803447, 16.547931570180808, 15.108810121619385, 27.882508361463803, 24.498967407263063, 21.67890730454933, 15.655855572930601, 17.020984660675698, 28.000959759475407, 17.609373824915917, 8.006422685585466, 8.594557780295704, 4.794206129144311, 0.4535943937816129, 12.282395894785907, 11.45506418559268, 8.51375849302931]",268.8,0.44,"[292.0, 209.0, 363.0, 372.0, 379.0, 489.0]",57.27478518518519
BO1_30_5_EI,6,"[50.68736177430405, 715.8326547196988, 2560.83102989514, 2844.631945912341, 2181.4559092116415, 3334.683162648057, 2343.8772918070003, 3293.8548319576116, 3060.1388800432783, 1618.0224268975326, 343.4764193654808, 1334.9457079137592, 2407.8285095889864, 2397.3204838229885, 2128.672035747818, 988.9984547642312, 2020.4763330517246, 1378.5367491136437]","[0.4084396597445935, 5.768192221754221, 20.63522183638308, 22.92209464876987, 17.578210388490263, 26.870936040677336, 18.8870047687913, 26.541940628183816, 24.658653344426096, 13.038053399657798, 2.767739076273012, 10.757016179804667, 19.40232481538265, 19.31765095747775, 17.15287700038532, 7.9693670810977535, 16.28103411000584, 11.10827356255958]",282.2,0.22,"[246.0, 290.0, 380.0, 438.0, 510.0, 442.0]",44.32044783950617
BO1_30_5_EI,7,"[3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 0.0, 3600.0, 1417.6539204788708, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 2240.6500804030907, 3600.0, 3600.0, 3600.0, 0.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0, 29.008863819500405, 11.423480422875672, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 18.055198069323858, 29.008863819500405, 29.008863819500405, 29.008863819500405, 0.0]",435.5,0.24,"[571.0, 595.0, 376.0, 569.0, 595.0, 656.0]",48.794036265432105
BO1_30_5_EI,8,"[3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3244.148822912487, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0]","[29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 26.14140872612802, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405, 29.008863819500405]",519.1,0.71,"[636.0, 653.0, 658.0, 687.0, 682.0, 669.0]",48.984140586419755
BO1_30_5_EI,9,"[657.3667805738442, 2257.4102085479603, 5.112223013616703, 3389.2297625521596, 1793.2383875622554, 0.0, 1225.8251029892708, 0.0, 3300.7804399342126, 3429.732820132023, 295.4033803399227, 604.3505779742544, 3600.0, 0.0, 1037.8629709266697, 143.42240578001514, 135.69855833924865, 0.0]","[5.297073171425014, 18.190251479032717, 0.04119438367136747, 27.310473509687025, 14.449946716859431, 0.0, 9.877720410872449, 0.0, 26.597747300033948, 27.636847865689145, 2.3803656755835836, 4.8698676710254185, 29.008863819500405, 0.0, 8.363118218587186, 1.1557002883159964, 1.093461388712721, 0.0]",176.3,0.34,"[205.0, 125.0, 182.0, 195.0, 322.0, 480.0]",102.3976362654321
BO1_30_5_EI,10,"[3459.597126071651, 3495.625423272478, 3159.181898842033, 3153.241452351155, 1444.1031828384935, 0.0, 2664.630837514958, 0.0, 3035.5887980728994, 2003.820985155045, 2685.3006452093687, 943.6654113449326, 3052.450819137069, 0.0, 2749.2626752910683, 2854.112423217334, 2784.262932842885, 0.0]","[27.877494972374304, 28.167811629915217, 25.456743745705346, 25.40887552257176, 11.636609047852486, 0.0, 21.47164252630909, 0.0, 24.46082834869379, 16.146825021394402, 21.63820020313754, 7.604072613577217, 24.596702813352692, 0.0, 22.153607375431655, 22.998488502959983, 22.435640071256127, 0.0]",302.1,0.28,"[410.0, 333.0, 303.0, 425.0, 448.0, 448.0]",47.3985587962963
