Algorithm,Iteration,Lumens Config,Watts Config,Energy,Uniformity (IUDI),Avg Desk Lux,Objective
SAMO-COBRA_30_5,1,"[1800. 1800. 1800. 1800. 1800. 1800. 1800. 1800. 1800. 1800. 1800. 1800.
 1800. 1800. 1800. 1800. 1800. 1800.]","[np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203), np.float64(14.504431909750203)]",261.0,0.7,"[327.0, 329.0, 341.0, 356.0, 348.0, 351.0]",47.199847222222225
SAMO-COBRA_30_5,2,"[1800.         1200.          720.          514.28571429  327.27272727
  276.92307692  211.76470588  189.47368421  156.52173913  124.13793103
  116.12903226   97.2972973    87.80487805   83.72093023   76.59574468
   67.9245283    61.01694915   59.01639344]","[np.float64(14.504431909750203), np.float64(9.6696212731668), np.float64(5.801772763900081), np.float64(4.144123402785771), np.float64(2.637169438136401), np.float64(2.231451063038493), np.float64(1.7064037540882595), np.float64(1.5267823062894947), np.float64(1.2612549486739297), np.float64(1.0003056489482902), np.float64(0.9357698006290445), np.float64(0.784023346472984), np.float64(0.7075332638902544), np.float64(0.6746247399883811), np.float64(0.6172098685000078), np.float64(0.5473370531981208), np.float64(0.49167565795763424), np.float64(0.47555514458197434)]",49.6,0.29,"[99.0, 40.4, 92.7, 114.0, 81.2, 80.0]",128.19499012345682
SAMO-COBRA_30_5,3,"[ 900.         2400.         1440.         1028.57142857  654.54545455
  553.84615385  423.52941176  378.94736842  313.04347826  248.27586207
  232.25806452  194.59459459  175.6097561   167.44186047  153.19148936
  135.8490566   122.03389831  118.03278689]","[np.float64(7.252215954875101), np.float64(19.3392425463336), np.float64(11.603545527800161), np.float64(8.288246805571543), np.float64(5.274338876272801), np.float64(4.462902126076986), np.float64(3.412807508176519), np.float64(3.0535646125789895), np.float64(2.5225098973478612), np.float64(2.0006112978965804), np.float64(1.8715396012580905), np.float64(1.568046692945968), np.float64(1.4150665277805072), np.float64(1.3492494799767623), np.float64(1.2344197370000174), np.float64(1.0946741063962415), np.float64(0.9833513159152685), np.float64(0.951110289163947)]",77.8,0.33,"[84.6, 63.5, 159.0, 200.0, 145.0, 126.0]",110.26899660493828
SAMO-COBRA_30_5,4,"[2700.          400.         2160.         1542.85714286  981.81818182
  830.76923077  635.29411765  568.42105263  469.56521739  372.4137931
  348.38709677  291.89189189  263.41463415  251.1627907   229.78723404
  203.77358491  183.05084746  177.04918033]","[np.float64(21.756647864625304), np.float64(3.2232070910556003), np.float64(17.405318291700244), np.float64(12.432370208357314), np.float64(7.9115083144092), np.float64(6.694353189115478), np.float64(5.119211262264779), np.float64(4.580346918868485), np.float64(3.7837648460217923), np.float64(3.000916946844869), np.float64(2.8073094018871365), np.float64(2.352070039418952), np.float64(2.1225997916707615), np.float64(2.023874219965145), np.float64(1.8516296055000252), np.float64(1.642011159594362), np.float64(1.4750269738729014), np.float64(1.4266654337459215)]",101.6,0.37,"[161.0, 82.5, 120.0, 184.0, 200.0, 170.0]",113.47457654320988
SAMO-COBRA_30_5,5,"[ 450.         1600.         2880.         2057.14285714 1309.09090909
 1107.69230769  847.05882353  757.89473684  626.08695652  496.55172414
  464.51612903  389.18918919  351.2195122   334.88372093  306.38297872
  271.69811321  244.06779661  236.06557377]","[np.float64(3.6261079774375506), np.float64(12.892828364222401), np.float64(23.207091055600323), np.float64(16.576493611143086), np.float64(10.548677752545602), np.float64(8.925804252153972), np.float64(6.825615016353036), np.float64(6.107129225157979), np.float64(5.0450197946957225), np.float64(4.001222595793159), np.float64(3.743079202516181), np.float64(3.136093385891936), np.float64(2.8301330555610145), np.float64(2.698498959953526), np.float64(2.468839474000035), np.float64(2.189348212792483), np.float64(1.9667026318305354), np.float64(1.9022205783278958)]",118.5,0.39,"[91.7, 98.8, 184.0, 268.0, 263.0, 215.0]",96.85694212962964
SAMO-COBRA_30_5,6,"[2937.66646284 3600.         1352.73756911 2394.33535266 3246.52938765
 3208.72362393 3094.68855223 3049.41272379 2981.70992601 2916.65019354
 2900.98469377 2864.96407385 2847.27809864 2839.76916103 2826.81967231
 2811.31884056 2799.17883922 2795.69697806]","[np.float64(23.67176843542105), np.float64(29.008863819500405), np.float64(10.900383312717752), np.float64(19.293596717655085), np.float64(26.160591358974305), np.float64(25.855951844745668), np.float64(24.93705521540787), np.float64(24.572221787196828), np.float64(24.026671442429812), np.float64(23.502418964883972), np.float64(23.376186089984603), np.float64(23.08593129610837), np.float64(22.943417394328364), np.float64(22.88291024199771), np.float64(22.7785630322879), np.float64(22.653657055273516), np.float64(22.55583270925371), np.float64(22.527775810304803)]",414.9,0.74,"[521.0, 517.0, 569.0, 537.0, 495.0, 541.0]",6.254584722222223
SAMO-COBRA_30_5,7,"[2507.13578766 2432.09383262 1395.42472047 1870.73315716 2374.52848843
 2496.62188001 2601.85076137 2621.31228669 2635.92297315 2636.4825777
 2634.8912212  2628.92083287 2624.87230293 2622.94085412 2619.32123667
 2614.52380879 2610.42068414 2609.18959255]","[np.float64(20.20254462257747), np.float64(19.597855218525787), np.float64(11.244357135123568), np.float64(15.074400944046696), np.float64(19.13399265452214), np.float64(20.11782336834821), np.float64(20.96575955977282), np.float64(21.122580875831805), np.float64(21.24031404634886), np.float64(21.244823349689245), np.float64(21.23200017081237), np.float64(21.183890675813142), np.float64(21.1512675498149), np.float64(21.13570390102256), np.float64(21.10653695944645), np.float64(21.06787920054864), np.float64(21.034816149393464), np.float64(21.02489599150058)]",358.7,0.74,"[465.0, 468.0, 469.0, 452.0, 432.0, 458.0]",11.04695478395062
SAMO-COBRA_30_5,8,"[1.59598402e+03 6.90016706e+02 4.98381985e+02 7.99360578e-13
 0.00000000e+00 0.00000000e+00 3.79961760e+02 6.81604496e+02
 9.95589682e+02 1.22173359e+03 1.26951178e+03 1.37208927e+03
 1.41922581e+03 1.43865350e+03 1.47139332e+03 1.50934057e+03
 1.53816154e+03 1.54628299e+03]","[np.float64(12.860467500405838), np.float64(5.560166847943459), np.float64(4.015970869708757), np.float64(6.441261706125002e-15), np.float64(0.0), np.float64(0.0), np.float64(3.061738595862911), np.float64(5.492381114859423), np.float64(8.022479309947427), np.float64(9.844750932160924), np.float64(10.229748408366488), np.float64(11.05631968053001), np.float64(11.436146705395746), np.float64(11.592695415832651), np.float64(11.856513481612524), np.float64(12.162293048627323), np.float64(12.394532934664438), np.float64(12.459975743059289)]",148.6,0.54,"[248.0, 239.0, 151.0, 149.0, 138.0, 153.0]",96.44458734567901
SAMO-COBRA_30_5,9,"[2250.73283195 3070.50090501  211.47081304 3600.         3600.
 3467.34984111 2948.07303083 2887.2331369  2613.07144299 2401.37572303
 2364.80594356 2298.46325282 2273.51217268 2264.20167342 2249.74990261
 2234.85821119 2224.8203154  2222.1797192 ]","[np.float64(18.136445060037516), np.float64(24.74215072531769), np.float64(1.7040355603617896), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(27.939966487554162), np.float64(23.75562474476892), np.float64(23.265375800969228), np.float64(21.05617601122005), np.float64(19.350328146927076), np.float64(19.055648215609256), np.float64(18.521057637560276), np.float64(18.32000139142729), np.float64(18.24497722335369), np.float64(18.128524597984047), np.float64(18.008527084503513), np.float64(17.927641542312607), np.float64(17.906363571341554)]",364.0,0.65,"[420.0, 419.0, 519.0, 455.0, 465.0, 543.0]",16.947104938271607
SAMO-COBRA_30_5,10,"[1817.85580736 3600.         3600.          817.73827982 3600.
 2919.43833573 3600.         3600.         3600.         3600.
 3600.         2589.55099288 2342.93560817 2280.52930074 2202.77097993
 2140.21693883 2105.59009592 2097.3356879 ]","[np.float64(14.648314322019022), np.float64(29.008863819500398), np.float64(29.008863819500398), np.float64(6.589349555355152), np.float64(29.008863819500405), np.float64(23.524885864044265), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500405), np.float64(29.008863819500398), np.float64(20.8666478072411), np.float64(18.87941666531927), np.float64(18.376545533761032), np.float64(17.749967606235746), np.float64(17.245906034074853), np.float64(16.966882320041773), np.float64(16.90036815390595)]",403.7,0.55,"[459.0, 489.0, 551.0, 640.0, 549.0, 550.0]",11.723135339506173
